"Status","Year","Organisation","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","Female","65","55","30340","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","Male","35","30","29930","28710"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","Female","25","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","Male","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","Female","55","55","40960","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","Male","35","30","40580","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","Female","80","75","30080","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","Male","45","40","31900","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","Female","80","70","31800","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","Male","60","55","32400","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","Female","45","35","30670","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","Male","40","35","33300","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","Female","55","50","30620","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","Male","25","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","Female","45","40","33280","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","Female","30","25","33750","32310"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","Male","30","25","32720","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","South East (England)","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","Female","25","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","Male","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East of England","Female","65","60","30700","30320"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","East of England","Male","55","55","33070","30990"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","Female","40","35","37200","32720"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","Male","40","40","34300","32720"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North East (England)","Female","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North East (England)","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North West (England)","Female","180","165","26840","24920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","North West (England)","Male","105","105","28000","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Scotland","Female","65","60","26070","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Scotland","Male","40","40","30680","26820"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South East (England)","Female","170","160","32080","29150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South East (England)","Male","120","115","32340","29710"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South West (England)","Female","220","205","26820","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","South West (England)","Male","150","145","26440","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Wales","Female","185","170","26720","22280"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Wales","Male","95","90","28650","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","Female","155","145","26660","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","Male","75","75","29390","26850"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","Female","135","130","27840","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","Male","135","130","29090","25920"
"In post","2023","Animal and Plant Health Agency","Other","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","South East (England)","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","South East (England)","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","Female","15","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","North East (England)","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","North West (England)","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","South East (England)","Female","275","260","32860","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","South East (England)","Male","180","175","34910","30540"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","South West (England)","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Wales","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","East of England","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","East of England","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","London","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","North West (England)","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","North West (England)","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Scotland","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Scotland","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","South East (England)","Female","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","South East (England)","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","South West (England)","Female","55","50","40880","37330"
"In post","2023","Animal and Plant Health Agency","Veterinarian","South West (England)","Male","35","35","39590","38230"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Wales","Female","20","20","[c]","[c]"
