"Status","Year","Function_of_post","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Wales","Female","30","30","37470","32740"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Wales","Male","25","20","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","Female","55","50","50990","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","Male","70","70","51520","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","East Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","London","Female","130","120","49550","46600"
"In post","2023","Analysis","Department for Education","London","Male","95","95","52690","53130"
"In post","2023","Analysis","Department for Education","North East (England)","Female","30","30","45170","43490"
"In post","2023","Analysis","Department for Education","North East (England)","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Education","North West (England)","Female","40","40","40100","40420"
"In post","2023","Analysis","Department for Education","North West (England)","Male","30","30","[c]","[c]"
"In post","2023","Analysis","Department for Education","South West (England)","Female","35","30","42420","43250"
"In post","2023","Analysis","Department for Education","South West (England)","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","West Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","West Midlands (England)","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education","Yorkshire and The Humber","Female","85","75","44190","43250"
"In post","2023","Analysis","Department for Education","Yorkshire and The Humber","Male","70","70","47020","43860"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","East of England","Female","170","155","33810","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","East of England","Male","175","170","39040","37310"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","Male","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Female","75","70","32550","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Male","80","80","35910","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","London","Female","100","95","47180","41750"
"In post","2023","Analysis","Department for International Trade","London","Male","145","145","50570","55370"
"In post","2023","Analysis","Department for International Trade","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","Female","85","85","48360","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","Male","125","125","50270","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","South West (England)","Female","10","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","South West (England)","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","West Midlands (England)","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","London","Female","140","135","51820","55740"
"In post","2023","Analysis","Department for Transport","London","Male","180","180","50500","55190"
"In post","2023","Analysis","Department for Transport","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South East (England)","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South West (England)","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport","West Midlands (England)","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Yorkshire and The Humber","Male","15","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","East Midlands (England)","Female","15","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","East Midlands (England)","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","East of England","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","London","Female","115","105","49080","43760"
"In post","2023","Analysis","Department for Work and Pensions","London","Male","110","110","51560","43810"
"In post","2023","Analysis","Department for Work and Pensions","North East (England)","Female","50","45","44140","38470"
"In post","2023","Analysis","Department for Work and Pensions","North East (England)","Male","55","55","42240","38470"
"In post","2023","Analysis","Department for Work and Pensions","North West (England)","Female","35","35","40420","34170"
"In post","2023","Analysis","Department for Work and Pensions","North West (England)","Male","45","45","38230","34860"
"In post","2023","Analysis","Department for Work and Pensions","Scotland","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Scotland","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","West Midlands (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Yorkshire and The Humber","Female","100","85","45910","43700"
"In post","2023","Analysis","Department for Work and Pensions","Yorkshire and The Humber","Male","95","90","45980","38750"
"In post","2023","Analysis","Department of Health and Social Care","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","East of England","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","London","Female","85","80","44000","34280"
"In post","2023","Analysis","Department of Health and Social Care","London","Male","65","65","45740","41710"
"In post","2023","Analysis","Department of Health and Social Care","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Yorkshire and The Humber","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Yorkshire and The Humber","Male","40","35","46610","50830"
"In post","2023","Analysis","Estyn","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South East (England)","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","London","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","London","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","London","Female","185","175","52600","45960"
"In post","2023","Analysis","HM Revenue and Customs","London","Male","245","240","53370","45960"
"In post","2023","Analysis","HM Revenue and Customs","North East (England)","Female","20","15","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","North East (England)","Male","20","20","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","North West (England)","Female","130","120","45560","42140"
"In post","2023","Analysis","HM Revenue and Customs","North West (England)","Male","190","185","43750","41780"
"In post","2023","Analysis","HM Revenue and Customs","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Yorkshire and The Humber","Female","10","10","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury","London","Female","85","80","45290","41360"
"In post","2023","Analysis","HM Treasury","London","Male","125","125","48210","45850"
"In post","2023","Analysis","HM Treasury","North East (England)","Female","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury","North East (England)","Male","10","10","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Treasury","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","London","Female","240","230","45300","43350"
"In post","2023","Analysis","Home Office","London","Male","235","230","48250","44170"
"In post","2023","Analysis","Home Office","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","North West (England)","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Home Office","North West (England)","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Home Office","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South West (England)","Male","[c]","[c]","[c]","[c]"
