"Status","Year","Organisation","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Active Travel England","Department for Transport","HEO","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","Female","40","30","21960","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Female","175","155","25990","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Male","120","120","25780","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","Female","275","245","33880","32350"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","Male","170","160","34170","32340"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","Female","80","75","43590","41850"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","Male","85","80","44140","43780"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","Female","610","560","22900","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","Male","330","325","23110","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Female","490","465","27190","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Male","340","330","27350","26030"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","Female","30","30","62850","61980"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","Male","35","35","63420","62720"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","Female","110","105","51820","50370"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","Male","95","95","52700","53300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","Female","310","295","31830","30640"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","Male","210","205","31930","31000"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","Female","285","265","39380","37980"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","Male","220","210","40050","38670"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","AO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G6","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G7","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","HEO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","Female","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","Male","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G6","Female","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G6","Male","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G7","Female","45","45","53760","53030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G7","Male","45","45","54070","53030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","HEO","Female","35","35","34950","35040"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","HEO","Male","45","45","35500","35620"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AO","Female","230","205","22440","21720"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AO","Male","190","185","22760","21780"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","Female","450","420","27230","27430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","Male","310","305","26900","27110"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6","Female","300","295","67130","66530"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6","Male","315","310","67190","66530"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G7","Female","855","825","56000","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G7","Male","795","780","56320","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","HEO","Female","610","590","34650","35240"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","HEO","Male","515","510","34820","35240"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Female","215","205","91900","81830"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Male","245","240","98780","91750"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO","Female","505","490","41000","41870"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO","Male","385","385","41210","41870"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","HEO","Female","995","995","30680","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","HEO","Male","665","665","30760","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","Female","15","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","Male","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Female","85","75","25960","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Male","65","60","26030","25940"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","Female","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","Male","20","20","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","Female","45","45","49820","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","Male","65","60","50290","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","Female","105","95","30510","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","Male","85","85","30580","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","Female","80","75","37620","37310"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","Male","80","75","38080","37310"
"In post","2023","Charity Commission","Charity Commission","AO","Female","10","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","AO","Male","10","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","EO","Female","75","75","25640","25300"
"In post","2023","Charity Commission","Charity Commission","EO","Male","45","40","25840","25300"
"In post","2023","Charity Commission","Charity Commission","G6","Female","15","15","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","G6","Male","10","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","G7","Female","40","40","53320","52240"
"In post","2023","Charity Commission","Charity Commission","G7","Male","15","15","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","HEO","Female","95","90","30510","30170"
"In post","2023","Charity Commission","Charity Commission","HEO","Male","75","75","30480","30170"
"In post","2023","Charity Commission","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","SEO","Female","60","60","39210","38800"
"In post","2023","Charity Commission","Charity Commission","SEO","Male","45","40","39720","38800"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AO","Female","285","240","22620","23240"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AO","Male","150","145","22680","23240"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","EO","Female","160","145","27380","25700"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","EO","Male","135","135","28870","28070"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G6","Female","20","20","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G6","Male","15","15","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G7","Female","35","30","54410","53010"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G7","Male","35","35","53740","50930"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","HEO","Female","110","105","35590","36930"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","HEO","Male","95","95","36520","37350"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","SEO","Female","70","70","43550","42250"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","SEO","Male","95","95","44370","42990"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","AO","Female","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","AO","Male","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","EO","Female","35","35","28560","28000"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","EO","Male","25","25","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","G6","Female","110","105","77120","76720"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","G6","Male","115","110","77400","76720"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","G7","Female","120","110","57950","57540"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","G7","Male","125","125","58640","57600"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","HEO","Female","85","85","35540","34620"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","HEO","Male","70","70","35370","34110"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","SCS level","Female","55","50","109130","102320"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","SCS level","Male","70","70","110250","102320"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","SEO","Female","30","30","44260","43560"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","SEO","Male","35","35","45360","44990"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","AA","Male","5","5","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","AO","Female","70","65","21780","21780"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","AO","Male","55","50","21780","21780"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","EO","Female","50","45","25940","25830"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","EO","Male","40","40","26050","25830"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","G7","Female","10","5","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","HEO","Female","45","40","31530","31270"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","HEO","Male","40","40","31760","31270"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","SEO","Female","5","5","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","SEO","Male","10","10","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","AO","Female","10","10","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","AO","Male","5","5","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","EO","Female","55","50","26540","26410"
"In post","2023","Crown Commercial Service","Cabinet Office","EO","Male","40","40","26570","26410"
"In post","2023","Crown Commercial Service","Cabinet Office","G6","Female","30","30","64250","65440"
"In post","2023","Crown Commercial Service","Cabinet Office","G6","Male","25","25","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","G7","Female","75","75","52840","52990"
"In post","2023","Crown Commercial Service","Cabinet Office","G7","Male","60","60","53410","52990"
"In post","2023","Crown Commercial Service","Cabinet Office","HEO","Female","115","110","32310","32110"
"In post","2023","Crown Commercial Service","Cabinet Office","HEO","Male","70","70","32290","32110"
"In post","2023","Crown Commercial Service","Cabinet Office","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","SEO","Female","125","120","39820","40620"
"In post","2023","Crown Commercial Service","Cabinet Office","SEO","Male","125","125","40180","40470"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","AO","Female","565","505","24020","24490"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","AO","Male","215","205","23940","24490"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","EO","Female","305","290","30180","29450"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","EO","Male","100","100","30480","29450"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","G6","Female","160","150","74150","74000"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","G6","Male","55","55","73980","74000"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","G7","Female","360","335","56610","52360"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","G7","Male","165","165","57160","52360"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","HEO","Female","290","275","36030","36330"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","HEO","Male","135","130","36540","37940"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","SEO","Female","50","50","44950","43440"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","SEO","Male","25","25","[c]","[c]"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","AA","Male","10","10","[c]","[c]"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","AO","Female","1160","1050","23190","22870"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","AO","Male","420","410","23130","22870"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","EO","Female","1160","1065","28380","28200"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","EO","Male","400","395","28550","28200"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","G6","Female","120","115","73900","73000"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","G6","Male","130","125","76790","74170"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","G7","Female","1835","1660","56710","55850"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","G7","Male","1050","1010","57770","56450"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","HEO","Female","400","375","33320","33000"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","HEO","Male","220","220","33340","32660"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","SCS level","Female","50","50","94830","87870"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","SCS level","Male","40","40","97200","88440"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","SEO","Female","350","335","40200","39710"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","SEO","Male","180","180","40280","39710"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","AA","Male","30","30","18070","18640"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","AO","Female","25","20","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","AO","Male","40","40","22600","22210"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","EO","Female","30","30","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","EO","Male","205","200","29100","28710"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","G7","Male","5","5","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","HEO","Female","15","15","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","HEO","Male","65","60","34870","34680"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","SEO","Male","15","15","[c]","[c]"
"In post","2023","Defence Equipment and Support","Ministry of Defence","AO","Female","660","605","22620","22000"
"In post","2023","Defence Equipment and Support","Ministry of Defence","AO","Male","1010","995","22570","21550"
"In post","2023","Defence Equipment and Support","Ministry of Defence","EO","Female","285","260","26990","26520"
"In post","2023","Defence Equipment and Support","Ministry of Defence","EO","Male","460","450","27650","27640"
"In post","2023","Defence Equipment and Support","Ministry of Defence","G6","Female","130","130","68850","69450"
"In post","2023","Defence Equipment and Support","Ministry of Defence","G6","Male","345","335","70740","70710"
"In post","2023","Defence Equipment and Support","Ministry of Defence","G7","Female","455","430","53510","54510"
"In post","2023","Defence Equipment and Support","Ministry of Defence","G7","Male","1015","1000","55050","55180"
"In post","2023","Defence Equipment and Support","Ministry of Defence","HEO","Female","1150","1065","32570","32500"
"In post","2023","Defence Equipment and Support","Ministry of Defence","HEO","Male","1715","1680","33510","32500"
"In post","2023","Defence Equipment and Support","Ministry of Defence","SCS level","Female","35","30","95250","93730"
"In post","2023","Defence Equipment and Support","Ministry of Defence","SCS level","Male","80","80","105840","97720"
"In post","2023","Defence Equipment and Support","Ministry of Defence","SEO","Female","1040","980","41280","41310"
"In post","2023","Defence Equipment and Support","Ministry of Defence","SEO","Male","2335","2280","42870","42840"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","AA","Female","10","10","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","AA","Male","30","30","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","AO","Female","35","30","20390","19430"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","AO","Male","75","75","21670","23340"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","EO","Female","160","145","24550","24630"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","EO","Male","120","120","24990","24630"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","G6","Female","50","45","70430","70550"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","G6","Male","155","145","71670","70550"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","G7","Female","645","605","51530","49260"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","G7","Male","1385","1335","52540","49260"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","HEO","Female","475","450","30040","30650"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","HEO","Male","655","650","30080","30650"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","SEO","Female","430","405","39500","39890"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","SEO","Male","740","725","39690","39890"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AO","Female","30","25","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AO","Male","40","40","24880","25900"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","Female","235","230","28300","28720"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","Male","140","140","28460","28720"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6","Female","365","345","68120","66790"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6","Male","405","400","68760","66790"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G7","Female","1035","1000","55890","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G7","Male","1120","1110","56420","55120"
