"Status","Year","Function_of_post","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Statistics","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","London","EO","15","15","27900","28000"
"In post","2023","Analysis","Unknown","London","G6/G7","55","55","62980","60600"
"In post","2023","Analysis","Unknown","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","London","SEO/HEO","35","35","38580","38460"
"In post","2023","Analysis","Unknown","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Unknown","Outside London","G6/G7","20","20","56400","54770"
"In post","2023","Analysis","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Outside London","SEO/HEO","30","30","36050","35000"
"In post","2023","Commercial","Commercial","London","AA/AO","35","35","24430","23810"
"In post","2023","Commercial","Commercial","London","EO","70","70","29920","29660"
"In post","2023","Commercial","Commercial","London","G6/G7","680","670","66470","66270"
"In post","2023","Commercial","Commercial","London","SCS level","145","140","122520","118620"
"In post","2023","Commercial","Commercial","London","SEO/HEO","470","460","39320","40180"
"In post","2023","Commercial","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Outside London","AA/AO","290","270","23540","22500"
"In post","2023","Commercial","Commercial","Outside London","EO","540","520","27250","27080"
"In post","2023","Commercial","Commercial","Outside London","G6/G7","1305","1270","62770","60860"
"In post","2023","Commercial","Commercial","Outside London","SCS level","120","115","106900","100710"
"In post","2023","Commercial","Commercial","Outside London","SEO/HEO","2410","2335","37750","37760"
"In post","2023","Commercial","Commercial","Outside London","Unknown","165","160","42980","42620"
"In post","2023","Commercial","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Overseas","G6/G7","10","10","78870","85900"
"In post","2023","Commercial","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Overseas","SEO/HEO","15","15","59390","58690"
"In post","2023","Commercial","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Economics","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","London","G6/G7","20","20","58770","57410"
"In post","2023","Commercial","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","Human Resources","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Human Resources","Outside London","SEO/HEO","10","10","36040","36160"
"In post","2023","Commercial","International Trade","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","London","EO","35","35","31690","32300"
"In post","2023","Commercial","Operational Delivery","London","G6/G7","80","80","64610","62040"
"In post","2023","Commercial","Operational Delivery","London","SCS level","10","10","118720","117760"
"In post","2023","Commercial","Operational Delivery","London","SEO/HEO","110","110","43030","43210"
"In post","2023","Commercial","Operational Delivery","Outside London","AA/AO","15","15","22470","22150"
"In post","2023","Commercial","Operational Delivery","Outside London","EO","30","25","27150","27320"
"In post","2023","Commercial","Operational Delivery","Outside London","G6/G7","35","35","56240","53980"
"In post","2023","Commercial","Operational Delivery","Outside London","SEO/HEO","50","50","36680","37300"
"In post","2023","Commercial","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Other","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Other","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","Other","Outside London","EO","10","5","26820","26240"
"In post","2023","Commercial","Other","Outside London","G6/G7","65","60","49620","47960"
"In post","2023","Commercial","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Other","Outside London","SEO/HEO","80","75","35350","37420"
"In post","2023","Commercial","Policy","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Policy","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Policy","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Policy","Outside London","G6/G7","30","25","57710","55300"
"In post","2023","Commercial","Policy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Policy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Policy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","London","SEO/HEO","10","10","41730","41210"
"In post","2023","Commercial","Project Delivery","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","Outside London","EO","10","10","27810","28120"
"In post","2023","Commercial","Project Delivery","Outside London","G6/G7","15","15","57140","51360"
"In post","2023","Commercial","Project Delivery","Outside London","SEO/HEO","35","35","34590","34170"
"In post","2023","Commercial","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Security","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Security","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Statistics","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Tax","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Tax","Outside London","SEO/HEO","10","10","38860","41780"
"In post","2023","Commercial","Unknown","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","London","G6/G7","40","40","65890","65500"
"In post","2023","Commercial","Unknown","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","London","SEO/HEO","15","15","39540","37500"
"In post","2023","Commercial","Unknown","Outside London","EO","10","10","27010","27650"
"In post","2023","Commercial","Unknown","Outside London","G6/G7","45","45","63420","63960"
"In post","2023","Commercial","Unknown","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Commercial","Unknown","Outside London","SEO/HEO","40","40","38510","39580"
"In post","2023","Commercial","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Veterinarian","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","London","AA/AO","30","30","25490","25650"
"In post","2023","Communications","Communications","London","EO","150","145","30190","29660"
"In post","2023","Communications","Communications","London","G6/G7","605","590","61400","59550"
"In post","2023","Communications","Communications","London","SCS level","85","85","91370","86700"
"In post","2023","Communications","Communications","London","SEO/HEO","940","930","41140","41330"
"In post","2023","Communications","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","Outside London","AA/AO","125","115","22490","22220"
"In post","2023","Communications","Communications","Outside London","EO","305","285","27790","27470"
"In post","2023","Communications","Communications","Outside London","G6/G7","325","315","57150","55870"
"In post","2023","Communications","Communications","Outside London","SCS level","15","15","79040","78740"
"In post","2023","Communications","Communications","Outside London","SEO/HEO","1040","985","37340","37590"
"In post","2023","Communications","Communications","Outside London","Unknown","20","20","37080","33340"
"In post","2023","Communications","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Digital, Data and Technology","London","SEO/HEO","10","10","40390","41870"
"In post","2023","Communications","Digital, Data and Technology","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Communications","Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Finance","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Human Resources","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","London","EO","25","25","32730","32520"
"In post","2023","Communications","Knowledge and Information Management","London","G6/G7","15","15","60350","57240"
"In post","2023","Communications","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Knowledge and Information Management","London","SEO/HEO","35","35","43370","44360"
"In post","2023","Communications","Knowledge and Information Management","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Operational Delivery","London","G6/G7","15","15","63640","58630"
"In post","2023","Communications","Operational Delivery","London","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Operational Delivery","London","SEO/HEO","15","15","42040","42130"
"In post","2023","Communications","Operational Delivery","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Operational Delivery","Outside London","EO","10","10","26580","26260"
"In post","2023","Communications","Operational Delivery","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Communications","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Operational Delivery","Outside London","SEO/HEO","40","35","33920","32080"
"In post","2023","Communications","Other","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Communications","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Other","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Other","London","SEO/HEO","10","10","39470","40510"
"In post","2023","Communications","Other","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Other","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Other","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Planning","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","London","G6/G7","10","10","68470","64500"
"In post","2023","Communications","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Policy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Policy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Project Delivery","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Psychology","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Psychology","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Science and Engineering","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","London","EO","15","15","28660","28370"
"In post","2023","Communications","Unknown","London","G6/G7","60","55","60900","58470"
"In post","2023","Communications","Unknown","London","SCS level","20","20","97420","87400"
"In post","2023","Communications","Unknown","London","SEO/HEO","80","80","39140","41410"
"In post","2023","Communications","Unknown","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Counter Fraud","London","AA/AO","330","290","25320","25610"
