"Status","Year","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Communications","Department for Work and Pensions","Outside London","135","125","42220","40790"
"In post","2023","Communications","Department of Health and Social Care","London","200","190","48380","41950"
"In post","2023","Communications","Department of Health and Social Care","Outside London","30","30","42620","39120"
"In post","2023","Communications","Estyn","Outside London","10","5","[c]","[c]"
"In post","2023","Communications","Food Standards Agency","London","20","20","48200","41060"
"In post","2023","Communications","Food Standards Agency","Outside London","35","35","38060","37910"
"In post","2023","Communications","Foreign, Commonwealth and Development Office","London","110","110","50860","46620"
"In post","2023","Communications","Foreign, Commonwealth and Development Office","Outside London","20","15","38890","37540"
"In post","2023","Communications","HM Land Registry","London","15","15","44050","43150"
"In post","2023","Communications","HM Land Registry","Outside London","15","15","38410","34850"
"In post","2023","Communications","HM Revenue and Customs","London","100","95","52730","46100"
"In post","2023","Communications","HM Revenue and Customs","Outside London","185","180","44030","42140"
"In post","2023","Communications","HM Treasury","London","40","40","46810","42120"
"In post","2023","Communications","HM Treasury","Outside London","10","5","[c]","[c]"
"In post","2023","Communications","Home Office","London","105","105","50680","46690"
"In post","2023","Communications","Home Office","Outside London","15","15","45450","41730"
"In post","2023","Communications","Ministry of Defence","London","110","110","48800","48300"
"In post","2023","Communications","Ministry of Defence","Outside London","495","475","35220","33990"
"In post","2023","Communications","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Ministry of Justice","London","155","155","47660","43650"
"In post","2023","Communications","Ministry of Justice","Outside London","75","75","42090","40320"
"In post","2023","Communications","National Crime Agency","London","20","20","48700","50980"
"In post","2023","Communications","National Crime Agency","Outside London","15","15","43720","47380"
"In post","2023","Communications","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland Office","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Office for Standards in Education, Children's Services and Skills","London","25","25","47040","43840"
"In post","2023","Communications","Office for Standards in Education, Children's Services and Skills","Outside London","15","15","42340","40850"
"In post","2023","Communications","Office of Gas and Electricity Markets","London","35","30","54350","49000"
"In post","2023","Communications","Office of Gas and Electricity Markets","Outside London","30","30","38660","34930"
"In post","2023","Communications","Office of Qualifications and Examinations Regulation","Outside London","15","15","41740","34690"
"In post","2023","Communications","Office of Rail and Road","London","15","15","48220","33870"
"In post","2023","Communications","Office of Rail and Road","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Office of the Secretary of State for Scotland","London","5","5","[c]","[c]"
"In post","2023","Communications","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Office of the Secretary of State for Wales","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Scottish Government","Outside London","40","40","42430","39590"
"In post","2023","Communications","The National Archives","London","20","15","36400","33580"
"In post","2023","Communications","UK Export Finance","London","75","75","57460","52960"
"In post","2023","Communications","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","UK Statistics Authority","London","10","10","[c]","[c]"
"In post","2023","Communications","UK Statistics Authority","Outside London","65","65","39660","37720"
"In post","2023","Communications","UK Supreme Court","London","10","10","[c]","[c]"
"In post","2023","Communications","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Water Services Regulation Authority","Outside London","10","10","[c]","[c]"
"In post","2023","Communications","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Attorney General's Departments","London","235","230","47760","41400"
"In post","2023","Counter Fraud","Cabinet Office","London","65","65","54530","56430"
"In post","2023","Counter Fraud","Cabinet Office","Outside London","65","60","44180","38460"
"In post","2023","Counter Fraud","Cabinet Office","Unknown","15","15","43730","38050"
"In post","2023","Counter Fraud","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Department for Business, Energy and Industrial Strategy","London","55","55","43600","42460"
"In post","2023","Counter Fraud","Department for Business, Energy and Industrial Strategy","Outside London","380","355","33320","33340"
"In post","2023","Counter Fraud","Department for Digital, Culture, Media and Sport","London","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Department for Transport","London","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Department for Transport","Outside London","40","40","30620","27450"
"In post","2023","Counter Fraud","Department for Work and Pensions","London","1055","970","31940","32520"
"In post","2023","Counter Fraud","Department for Work and Pensions","Outside London","5485","4935","28820","28120"
"In post","2023","Counter Fraud","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Food Standards Agency","Outside London","40","40","38630","35280"
"In post","2023","Counter Fraud","HM Land Registry","Outside London","5","5","[c]","[c]"
"In post","2023","Counter Fraud","HM Revenue and Customs","London","2165","2080","40990","39450"
"In post","2023","Counter Fraud","HM Revenue and Customs","Outside London","7480","7030","35440","34700"
"In post","2023","Counter Fraud","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Ministry of Defence","London","15","15","57340","60220"
"In post","2023","Counter Fraud","Ministry of Defence","Outside London","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Debt","Department for Work and Pensions","London","10","10","27680","25610"
"In post","2023","Debt","Department for Work and Pensions","Outside London","2615","2260","23330","21690"
"In post","2023","Debt","Department for Work and Pensions","Unknown","5","5","[c]","[c]"
"In post","2023","Debt","HM Revenue and Customs","London","620","560","29630","26920"
"In post","2023","Debt","HM Revenue and Customs","Outside London","4500","4135","24810","22520"
"In post","2023","Debt","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Attorney General's Departments","London","135","135","47600","41580"
"In post","2023","Digital, Data & Technology","Attorney General's Departments","Outside London","160","155","39460","38940"
"In post","2023","Digital, Data & Technology","Cabinet Office","London","900","885","52880","56430"
"In post","2023","Digital, Data & Technology","Cabinet Office","Outside London","505","500","44610","40450"
"In post","2023","Digital, Data & Technology","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2023","Digital, Data & Technology","Chancellor's other departments","London","10","10","58090","55920"
"In post","2023","Digital, Data & Technology","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Charity Commission","Outside London","55","55","37310","32990"
"In post","2023","Digital, Data & Technology","Competition and Markets Authority","London","60","60","57010","56590"
"In post","2023","Digital, Data & Technology","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","London","195","190","47130","42470"
"In post","2023","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Outside London","2065","1980","40420","39650"
"In post","2023","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Overseas","30","30","34770","37420"
"In post","2023","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","London","25","25","57300","56260"
"In post","2023","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Outside London","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Department for Education","London","160","155","50250","55020"
"In post","2023","Digital, Data & Technology","Department for Education","Outside London","930","905","42310","37880"
"In post","2023","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","London","140","135","46600","41670"
"In post","2023","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Outside London","870","845","42880","46730"
"In post","2023","Digital, Data & Technology","Department for International Trade","London","160","155","52450","52220"
"In post","2023","Digital, Data & Technology","Department for International Trade","Outside London","50","50","47450","45950"
"In post","2023","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","London","110","110","55640","54630"
"In post","2023","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","Outside London","100","95","44720","42560"
"In post","2023","Digital, Data & Technology","Department for Transport","London","65","65","46520","43320"
"In post","2023","Digital, Data & Technology","Department for Transport","Outside London","1120","1100","41540","39820"
"In post","2023","Digital, Data & Technology","Department for Work and Pensions","London","240","235","49100","43760"
"In post","2023","Digital, Data & Technology","Department for Work and Pensions","Outside London","4110","3940","43020","38470"
"In post","2023","Digital, Data & Technology","Department for Work and Pensions","Unknown","20","15","53010","50160"
"In post","2023","Digital, Data & Technology","Department of Health and Social Care","London","270","265","49750","44770"
"In post","2023","Digital, Data & Technology","Department of Health and Social Care","Outside London","180","180","48840","49590"
"In post","2023","Digital, Data & Technology","Food Standards Agency","London","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Food Standards Agency","Outside London","50","50","46220","41240"
"In post","2023","Digital, Data & Technology","Foreign, Commonwealth and Development Office","London","120","120","49710","45970"
"In post","2023","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Outside London","345","340","43820","42410"
"In post","2023","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","HM Land Registry","London","45","45","43540","43020"
"In post","2023","Digital, Data & Technology","HM Land Registry","Outside London","650","620","39300","39460"
"In post","2023","Digital, Data & Technology","HM Revenue and Customs","London","495","485","51200","45560"
"In post","2023","Digital, Data & Technology","HM Revenue and Customs","Outside London","3480","3380","42670","41780"
"In post","2023","Digital, Data & Technology","HM Treasury","London","50","50","54690","54090"
"In post","2023","Digital, Data & Technology","HM Treasury","Outside London","10","10","[c]","[c]"
"In post","2023","Digital, Data & Technology","Home Office","London","960","945","49380","44040"
"In post","2023","Digital, Data & Technology","Home Office","Outside London","685","675","44740","40140"
"In post","2023","Digital, Data & Technology","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Ministry of Defence","London","275","270","42660","38020"
"In post","2023","Digital, Data & Technology","Ministry of Defence","Outside London","3030","2955","36400","33990"
"In post","2023","Digital, Data & Technology","Ministry of Defence","Overseas","45","45","42760","42990"
"In post","2023","Digital, Data & Technology","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Ministry of Justice","London","655","640","52360","55720"
"In post","2023","Digital, Data & Technology","Ministry of Justice","Outside London","770","760","43630","37800"
"In post","2023","Digital, Data & Technology","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","National Crime Agency","London","85","85","51330","50980"
"In post","2023","Digital, Data & Technology","National Crime Agency","Outside London","175","170","41470","38640"
"In post","2023","Digital, Data & Technology","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","London","30","30","47450","43850"
"In post","2023","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Outside London","95","90","44170","41050"
"In post","2023","Digital, Data & Technology","Office of Gas and Electricity Markets","London","105","105","49450","45000"
"In post","2023","Digital, Data & Technology","Office of Gas and Electricity Markets","Outside London","70","70","46560","43650"
"In post","2023","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Outside London","30","30","40410","39140"
"In post","2023","Digital, Data & Technology","Office of Rail and Road","London","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Scottish Government","Outside London","240","240","42220","39310"
"In post","2023","Digital, Data & Technology","The National Archives","London","140","135","42410","42420"
"In post","2023","Digital, Data & Technology","UK Export Finance","London","55","55","56000","54000"
"In post","2023","Digital, Data & Technology","UK Statistics Authority","London","55","55","47310","40830"
"In post","2023","Digital, Data & Technology","UK Statistics Authority","Outside London","840","815","42480","38600"
"In post","2023","Digital, Data & Technology","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Water Services Regulation Authority","London","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Water Services Regulation Authority","Outside London","20","20","49820","49760"
"In post","2023","Digital, Data & Technology","Welsh Government","Outside London","10","10","47480","52910"
"In post","2023","Finance","Attorney General's Departments","London","85","80","44300","38860"
"In post","2023","Finance","Attorney General's Departments","Outside London","85","80","33450","31180"
"In post","2023","Finance","Cabinet Office","London","140","135","42170","34550"
"In post","2023","Finance","Cabinet Office","Outside London","80","80","40990","33520"
"In post","2023","Finance","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Chancellor's other departments","London","30","30","51830","46780"
"In post","2023","Finance","Charity Commission","Outside London","10","10","[c]","[c]"
"In post","2023","Finance","Competition and Markets Authority","London","15","15","50470","44000"
"In post","2023","Finance","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Department for Business, Energy and Industrial Strategy","London","140","135","52660","54000"
"In post","2023","Finance","Department for Business, Energy and Industrial Strategy","Outside London","200","190","38940","35420"
"In post","2023","Finance","Department for Digital, Culture, Media and Sport","London","70","70","55650","54660"
"In post","2023","Finance","Department for Digital, Culture, Media and Sport","Outside London","25","25","49270","48130"
"In post","2023","Finance","Department for Education","London","90","90","55720","50100"
"In post","2023","Finance","Department for Education","Outside London","565","550","42940","38210"
"In post","2023","Finance","Department for Environment, Food and Rural Affairs","London","65","65","50280","54330"
"In post","2023","Finance","Department for Environment, Food and Rural Affairs","Outside London","375","360","42250","37710"
"In post","2023","Finance","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Department for International Trade","London","85","85","50590","51720"
"In post","2023","Finance","Department for International Trade","Outside London","5","5","[c]","[c]"
"In post","2023","Finance","Department for Levelling Up, Housing and Communities","London","70","70","53570","54630"
"In post","2023","Finance","Department for Levelling Up, Housing and Communities","Outside London","70","65","46110","42500"
"In post","2023","Finance","Department for Transport","London","120","120","56370","57330"
"In post","2023","Finance","Department for Transport","Outside London","310","300","36980","33350"
"In post","2023","Finance","Department for Work and Pensions","London","330","320","48040","43760"
"In post","2023","Finance","Department for Work and Pensions","Outside London","1785","1665","38780","37110"
"In post","2023","Finance","Department for Work and Pensions","Unknown","10","10","40330","36320"
"In post","2023","Finance","Department of Health and Social Care","London","210","210","49210","43250"
"In post","2023","Finance","Department of Health and Social Care","Outside London","205","200","42570","38120"
"In post","2023","Finance","Estyn","Outside London","5","5","[c]","[c]"
"In post","2023","Finance","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Food Standards Agency","Outside London","45","45","43730","38100"
"In post","2023","Finance","Foreign, Commonwealth and Development Office","London","195","190","52450","53500"
"In post","2023","Finance","Foreign, Commonwealth and Development Office","Outside London","390","375","34920","28090"
"In post","2023","Finance","Foreign, Commonwealth and Development Office","Overseas","15","15","56570","58470"
"In post","2023","Finance","HM Land Registry","London","35","35","52130","45150"
"In post","2023","Finance","HM Land Registry","Outside London","15","15","47780","47760"
"In post","2023","Finance","HM Revenue and Customs","London","550","525","49450","45560"
"In post","2023","Finance","HM Revenue and Customs","Outside London","2485","2220","32690","28130"
"In post","2023","Finance","HM Treasury","London","95","95","54250","54090"
"In post","2023","Finance","HM Treasury","Outside London","25","25","40410","35960"
"In post","2023","Finance","Home Office","London","165","160","55160","59000"
"In post","2023","Finance","Home Office","Outside London","110","105","42440","39190"
"In post","2023","Finance","Ministry of Defence","London","215","210","50580","45750"
"In post","2023","Finance","Ministry of Defence","Outside London","2075","1995","39760","34300"
"In post","2023","Finance","Ministry of Defence","Overseas","35","35","47830","44090"
"In post","2023","Finance","Ministry of Justice","London","325","315","48970","43650"
"In post","2023","Finance","Ministry of Justice","Outside London","415","400","39750","37680"
