"Status","Year","Age","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","16-19","Human Resources","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Legal","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","No function","Female","75","[c]","22240","21780"
"Leaver CS","2023","16-19","No function","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Property","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Property","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Analysis","Female","185","[c]","29730","26250"
"Leaver CS","2023","20-29","Analysis","Male","305","[c]","28890","28310"
"Leaver CS","2023","20-29","Commercial","Female","80","[c]","32790","31860"
"Leaver CS","2023","20-29","Commercial","Male","70","[c]","35740","32330"
"Leaver CS","2023","20-29","Communications","Female","85","[c]","32890","32310"
"Leaver CS","2023","20-29","Communications","Male","55","[c]","33810","33620"
"Leaver CS","2023","20-29","Counter Fraud","Female","70","[c]","29880","28120"
"Leaver CS","2023","20-29","Counter Fraud","Male","65","[c]","28060","25610"
"Leaver CS","2023","20-29","Debt","Female","115","[c]","21930","21690"
"Leaver CS","2023","20-29","Debt","Male","110","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Digital, Data & Technology","Female","180","[c]","32870","31470"
"Leaver CS","2023","20-29","Digital, Data & Technology","Male","315","[c]","33760","32500"
"Leaver CS","2023","20-29","Finance","Female","70","[c]","30200","28380"
"Leaver CS","2023","20-29","Finance","Male","105","[c]","31970","30850"
"Leaver CS","2023","20-29","Grants Management","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Grants Management","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Human Resources","Female","145","[c]","27460","24730"
"Leaver CS","2023","20-29","Human Resources","Male","70","[c]","29210","26350"
"Leaver CS","2023","20-29","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Legal","Female","150","[c]","28320","26900"
"Leaver CS","2023","20-29","Legal","Male","55","[c]","30470","26250"
"Leaver CS","2023","20-29","No function","Female","4495","[c]","27690","25880"
"Leaver CS","2023","20-29","No function","Male","3275","[c]","28050","25880"
"Leaver CS","2023","20-29","Project Delivery","Female","140","[c]","31810","32000"
"Leaver CS","2023","20-29","Project Delivery","Male","175","[c]","31620","31920"
"Leaver CS","2023","20-29","Property","Female","60","[c]","27840","26020"
"Leaver CS","2023","20-29","Property","Male","70","[c]","30140","26910"
"Leaver CS","2023","20-29","Security","Female","35","[c]","27140","26670"
"Leaver CS","2023","20-29","Security","Male","140","[c]","27400","27480"
"Leaver CS","2023","20-29","Unknown","Female","440","[c]","28390","27840"
"Leaver CS","2023","20-29","Unknown","Male","320","[c]","27890","26250"
"Leaver CS","2023","30-39","Analysis","Female","70","[c]","43520","39890"
"Leaver CS","2023","30-39","Analysis","Male","110","[c]","44830","40680"
"Leaver CS","2023","30-39","Commercial","Female","85","[c]","44630","39890"
"Leaver CS","2023","30-39","Commercial","Male","75","[c]","49420","42700"
"Leaver CS","2023","30-39","Communications","Female","85","[c]","45800","44260"
"Leaver CS","2023","30-39","Communications","Male","55","[c]","42120","40600"
"Leaver CS","2023","30-39","Counter Fraud","Female","50","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Male","70","[c]","33930","28700"
"Leaver CS","2023","30-39","Debt","Female","80","[c]","21920","21690"
"Leaver CS","2023","30-39","Debt","Male","60","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Female","220","[c]","45210","43170"
"Leaver CS","2023","30-39","Digital, Data & Technology","Male","420","[c]","45490","43150"
"Leaver CS","2023","30-39","Finance","Female","75","[c]","39430","35300"
"Leaver CS","2023","30-39","Finance","Male","80","[c]","45980","43760"
"Leaver CS","2023","30-39","Grants Management","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Grants Management","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Female","185","[c]","35370","30950"
"Leaver CS","2023","30-39","Human Resources","Male","85","[c]","37300","33010"
"Leaver CS","2023","30-39","Internal Audit","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Legal","Female","105","[c]","47070","51830"
"Leaver CS","2023","30-39","Legal","Male","90","[c]","50780","52190"
"Leaver CS","2023","30-39","No function","Female","3170","[c]","32490","28120"
"Leaver CS","2023","30-39","No function","Male","2805","[c]","34680","29730"
"Leaver CS","2023","30-39","Project Delivery","Female","120","[c]","42510","40460"
"Leaver CS","2023","30-39","Project Delivery","Male","175","[c]","42550","40980"
"Leaver CS","2023","30-39","Property","Female","40","[c]","34970","34160"
"Leaver CS","2023","30-39","Property","Male","65","[c]","36320","33000"
"Leaver CS","2023","30-39","Security","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Security","Male","110","[c]","32700","29480"
"Leaver CS","2023","30-39","Unknown","Female","325","[c]","37830","34730"
"Leaver CS","2023","30-39","Unknown","Male","305","[c]","39640","36650"
"Leaver CS","2023","40-49","Analysis","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Analysis","Male","50","[c]","50320","46990"
"Leaver CS","2023","40-49","Commercial","Female","65","[c]","63930","61710"
"Leaver CS","2023","40-49","Commercial","Male","65","[c]","62940","58490"
"Leaver CS","2023","40-49","Communications","Female","60","[c]","52170","52020"
"Leaver CS","2023","40-49","Communications","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Counter Fraud","Female","45","[c]","30770","28120"
"Leaver CS","2023","40-49","Counter Fraud","Male","45","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Debt","Female","60","[c]","22270","21690"
"Leaver CS","2023","40-49","Debt","Male","50","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Digital, Data & Technology","Female","140","[c]","48850","46170"
"Leaver CS","2023","40-49","Digital, Data & Technology","Male","285","[c]","53080","51360"
"Leaver CS","2023","40-49","Finance","Female","60","[c]","44270","44400"
"Leaver CS","2023","40-49","Finance","Male","50","[c]","50220","43650"
"Leaver CS","2023","40-49","Grants Management","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Grants Management","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Human Resources","Female","145","[c]","42670","38110"
"Leaver CS","2023","40-49","Human Resources","Male","70","[c]","40120","33730"
"Leaver CS","2023","40-49","Internal Audit","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Internal Audit","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Legal","Female","115","[c]","49560","52320"
"Leaver CS","2023","40-49","Legal","Male","60","[c]","61750","65300"
"Leaver CS","2023","40-49","No function","Female","2455","[c]","33310","28120"
"Leaver CS","2023","40-49","No function","Male","1795","[c]","36690","28650"
"Leaver CS","2023","40-49","Project Delivery","Female","100","[c]","46300","41800"
"Leaver CS","2023","40-49","Project Delivery","Male","110","[c]","53060","51290"
"Leaver CS","2023","40-49","Property","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Property","Male","40","[c]","40870","37680"
"Leaver CS","2023","40-49","Security","Female","35","[c]","34770","34320"
"Leaver CS","2023","40-49","Security","Male","75","[c]","33300","27730"
"Leaver CS","2023","40-49","Unknown","Female","235","[c]","45130","38900"
"Leaver CS","2023","40-49","Unknown","Male","175","[c]","48810","42230"
"Leaver CS","2023","50-59","Analysis","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Analysis","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Commercial","Female","55","[c]","61080","56000"
"Leaver CS","2023","50-59","Commercial","Male","50","[c]","67300","58260"
"Leaver CS","2023","50-59","Communications","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Communications","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Counter Fraud","Female","90","[c]","28130","27570"
"Leaver CS","2023","50-59","Counter Fraud","Male","100","[c]","32480","28120"
"Leaver CS","2023","50-59","Debt","Female","100","[c]","22400","21690"
"Leaver CS","2023","50-59","Debt","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Digital, Data & Technology","Female","115","[c]","46950","42650"
"Leaver CS","2023","50-59","Digital, Data & Technology","Male","225","[c]","49180","47960"
"Leaver CS","2023","50-59","Finance","Female","85","[c]","43980","39560"
"Leaver CS","2023","50-59","Finance","Male","80","[c]","48410","45770"
"Leaver CS","2023","50-59","Grants Management","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Grants Management","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Human Resources","Female","185","[c]","39280","34300"
"Leaver CS","2023","50-59","Human Resources","Male","140","[c]","40000","33380"
"Leaver CS","2023","50-59","Internal Audit","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Internal Audit","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Legal","Female","110","[c]","50150","54800"
"Leaver CS","2023","50-59","Legal","Male","50","[c]","53340","55170"
"Leaver CS","2023","50-59","No function","Female","3095","[c]","31810","27570"
"Leaver CS","2023","50-59","No function","Male","2435","[c]","35410","28120"
"Leaver CS","2023","50-59","Project Delivery","Female","120","[c]","46120","41100"
"Leaver CS","2023","50-59","Project Delivery","Male","120","[c]","53220","45640"
"Leaver CS","2023","50-59","Property","Female","50","[c]","36420","28080"
"Leaver CS","2023","50-59","Property","Male","75","[c]","40490","34300"
"Leaver CS","2023","50-59","Security","Female","60","[c]","33830","34320"
"Leaver CS","2023","50-59","Security","Male","185","[c]","36420","35990"
"Leaver CS","2023","50-59","Unknown","Female","235","[c]","46310","42760"
"Leaver CS","2023","50-59","Unknown","Male","220","[c]","48640","44180"
"Leaver CS","2023","60-64","Analysis","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Analysis","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Commercial","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Commercial","Male","45","[c]","54990","51770"
"Leaver CS","2023","60-64","Communications","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Communications","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Counter Fraud","Female","95","[c]","28980","28120"
"Leaver CS","2023","60-64","Counter Fraud","Male","85","[c]","34090","28120"
"Leaver CS","2023","60-64","Debt","Female","75","[c]","23570","21690"
"Leaver CS","2023","60-64","Debt","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Digital, Data & Technology","Female","60","[c]","44850","39980"
"Leaver CS","2023","60-64","Digital, Data & Technology","Male","110","[c]","42390","39860"
"Leaver CS","2023","60-64","Finance","Female","85","[c]","42570","38690"
"Leaver CS","2023","60-64","Finance","Male","70","[c]","48440","46440"
