"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Corporate Finance","London","SEO/HEO","30","30","39740","38550"
"In post","2023","Corporate Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","SEO/HEO","15","15","41930","41620"
"In post","2023","Counter Fraud","London","AA/AO","330","290","25310","25610"
"In post","2023","Counter Fraud","London","EO","795","755","32210","32520"
"In post","2023","Counter Fraud","London","G6/G7","160","155","65420","65230"
"In post","2023","Counter Fraud","London","SCS level","15","15","93850","84930"
"In post","2023","Counter Fraud","London","SEO/HEO","670","650","40960","39790"
"In post","2023","Counter Fraud","Outside London","AA/AO","1285","1115","22560","21690"
"In post","2023","Counter Fraud","Outside London","EO","4115","3755","28370","28120"
"In post","2023","Counter Fraud","Outside London","G6/G7","185","175","59740","57970"
"In post","2023","Counter Fraud","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Outside London","SEO/HEO","2025","1930","36260","34780"
"In post","2023","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","AA/AO","55","55","25900","25900"
"In post","2023","Digital, Data and Technology","London","EO","420","410","30920","30560"
"In post","2023","Digital, Data and Technology","London","G6/G7","2335","2295","62980","61530"
"In post","2023","Digital, Data and Technology","London","SCS level","170","165","99700","94330"
"In post","2023","Digital, Data and Technology","London","SEO/HEO","2320","2280","41030","41780"
"In post","2023","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Outside London","AA/AO","525","505","22900","22220"
"In post","2023","Digital, Data and Technology","Outside London","EO","2920","2780","28280","28120"
"In post","2023","Digital, Data and Technology","Outside London","G6/G7","4925","4835","58230","56570"
"In post","2023","Digital, Data and Technology","Outside London","SCS level","220","215","92550","87180"
"In post","2023","Digital, Data and Technology","Outside London","SEO/HEO","9120","8885","38280","37950"
"In post","2023","Digital, Data and Technology","Outside London","Unknown","70","70","37330","36350"
"In post","2023","Digital, Data and Technology","Overseas","EO","15","15","43110","38680"
"In post","2023","Digital, Data and Technology","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Overseas","SEO/HEO","25","25","44350","43670"
"In post","2023","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","G6/G7","15","15","60220","57970"
"In post","2023","Digital, Data and Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","SEO/HEO","15","15","38170","38470"
"In post","2023","Economics","London","AA/AO","25","25","25020","23210"
"In post","2023","Economics","London","EO","115","115","28720","28940"
"In post","2023","Economics","London","G6/G7","755","730","61840","59370"
"In post","2023","Economics","London","SCS level","100","95","91710","83420"
"In post","2023","Economics","London","SEO/HEO","620","615","38210","36710"
"In post","2023","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Outside London","AA/AO","40","40","21880","21200"
"In post","2023","Economics","Outside London","EO","65","65","26380","25500"
"In post","2023","Economics","Outside London","G6/G7","165","160","60260","57860"
"In post","2023","Economics","Outside London","SCS level","10","10","83410","81600"
"In post","2023","Economics","Outside London","SEO/HEO","265","265","36010","34700"
"In post","2023","Economics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Finance","London","AA/AO","90","85","25870","25500"
"In post","2023","Finance","London","EO","295","285","30650","30730"
"In post","2023","Finance","London","G6/G7","965","940","63750","62310"
"In post","2023","Finance","London","SCS level","170","165","94580","86110"
"In post","2023","Finance","London","SEO/HEO","1115","1090","41140","41270"
"In post","2023","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Outside London","AA/AO","970","875","22930","22520"
"In post","2023","Finance","Outside London","EO","1305","1235","27660","27470"
"In post","2023","Finance","Outside London","G6/G7","1630","1585","58350","57340"
"In post","2023","Finance","Outside London","SCS level","150","145","91250","81860"
"In post","2023","Finance","Outside London","SEO/HEO","3410","3265","38320","37820"
"In post","2023","Finance","Outside London","Unknown","60","60","53310","48840"
"In post","2023","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","EO","15","15","40400","36850"
"In post","2023","Finance","Overseas","G6/G7","15","15","64400","62280"
"In post","2023","Finance","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Overseas","SEO/HEO","15","15","49150","45780"
"In post","2023","Finance","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Geography","Outside London","AA/AO","35","35","21700","21690"
"In post","2023","Geography","Outside London","EO","185","175","28360","27610"
"In post","2023","Geography","Outside London","G6/G7","10","10","57320","55470"
"In post","2023","Geography","Outside London","SEO/HEO","245","235","37040","34370"
"In post","2023","Human Resources","London","AA/AO","80","80","26210","26400"
"In post","2023","Human Resources","London","EO","415","400","30350","29970"
"In post","2023","Human Resources","London","G6/G7","1000","975","62240","60220"
"In post","2023","Human Resources","London","SCS level","155","150","91730","82920"
"In post","2023","Human Resources","London","SEO/HEO","1285","1245","40250","39780"
"In post","2023","Human Resources","London","Unknown","10","10","42650","37800"
"In post","2023","Human Resources","Outside London","AA/AO","1195","1105","22520","22220"
"In post","2023","Human Resources","Outside London","EO","2425","2315","28320","27470"
"In post","2023","Human Resources","Outside London","G6/G7","1550","1500","57030","55830"
"In post","2023","Human Resources","Outside London","SCS level","100","95","88010","81860"
"In post","2023","Human Resources","Outside London","SEO/HEO","4430","4245","37180","35960"
"In post","2023","Human Resources","Outside London","Unknown","80","75","37510","38290"
"In post","2023","Human Resources","Overseas","EO","15","15","35960","36720"
"In post","2023","Human Resources","Overseas","G6/G7","25","25","82080","83550"
"In post","2023","Human Resources","Overseas","SEO/HEO","195","195","55040","56420"
"In post","2023","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","G6/G7","10","10","55200","52810"
"In post","2023","Human Resources","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Unknown","SEO/HEO","15","15","36380","35930"
"In post","2023","Inspector of Education and Training","London","G6/G7","60","60","75850","77470"
"In post","2023","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","London","SEO/HEO","40","40","52040","52750"
"In post","2023","Inspector of Education and Training","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","Outside London","G6/G7","565","555","77640","77470"
"In post","2023","Inspector of Education and Training","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Inspector of Education and Training","Outside London","SEO/HEO","410","400","50720","52750"
"In post","2023","Intelligence Analysis","London","AA/AO","40","35","26490","26400"
"In post","2023","Intelligence Analysis","London","EO","430","400","30880","30200"
"In post","2023","Intelligence Analysis","London","G6/G7","175","170","62830","61420"
"In post","2023","Intelligence Analysis","London","SCS level","15","15","87370","83730"
"In post","2023","Intelligence Analysis","London","SEO/HEO","575","560","41130","39790"
"In post","2023","Intelligence Analysis","London","Unknown","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","Outside London","AA/AO","50","45","22990","22400"
"In post","2023","Intelligence Analysis","Outside London","EO","1180","1120","27670","27470"
"In post","2023","Intelligence Analysis","Outside London","G6/G7","55","55","58160","56870"
"In post","2023","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","Outside London","SEO/HEO","670","650","35870","34300"
"In post","2023","Intelligence Analysis","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","Overseas","SEO/HEO","15","15","50540","46730"
"In post","2023","Intelligence Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","G6/G7","70","65","62370","60270"
"In post","2023","Internal Audit","London","SCS level","15","15","99870","93220"
"In post","2023","Internal Audit","London","SEO/HEO","105","100","43890","43230"
"In post","2023","Internal Audit","Outside London","AA/AO","15","15","25060","22500"
"In post","2023","Internal Audit","Outside London","EO","35","35","28360","27540"
"In post","2023","Internal Audit","Outside London","G6/G7","150","145","57870","57250"
"In post","2023","Internal Audit","Outside London","SCS level","15","15","94690","89940"
"In post","2023","Internal Audit","Outside London","SEO/HEO","330","310","40850","41780"
"In post","2023","Internal Audit","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","SEO/HEO","15","15","41690","43160"
"In post","2023","International Trade","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","London","EO","80","80","29840","29280"
"In post","2023","International Trade","London","G6/G7","600","590","59400","55510"
"In post","2023","International Trade","London","SCS level","95","90","84340","77040"
"In post","2023","International Trade","London","SEO/HEO","620","620","39360","41550"
"In post","2023","International Trade","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","Outside London","EO","55","50","26610","26140"
"In post","2023","International Trade","Outside London","G6/G7","145","140","55550","53340"
"In post","2023","International Trade","Outside London","SCS level","10","10","82710","74940"
"In post","2023","International Trade","Outside London","SEO/HEO","380","365","38830","38720"
"In post","2023","International Trade","Overseas","G6/G7","100","100","58480","57720"
"In post","2023","International Trade","Overseas","SCS level","30","30","85980","77940"
"In post","2023","International Trade","Overseas","SEO/HEO","50","50","39180","39450"
"In post","2023","Knowledge and Information Management","London","AA/AO","75","70","25880","25610"
"In post","2023","Knowledge and Information Management","London","EO","165","160","30430","30880"
"In post","2023","Knowledge and Information Management","London","G6/G7","200","185","60380","58960"
"In post","2023","Knowledge and Information Management","London","SCS level","10","10","85960","83890"
"In post","2023","Knowledge and Information Management","London","SEO/HEO","385","375","39240","39030"
"In post","2023","Knowledge and Information Management","Outside London","AA/AO","335","315","22610","22220"
"In post","2023","Knowledge and Information Management","Outside London","EO","475","450","27730","27470"
"In post","2023","Knowledge and Information Management","Outside London","G6/G7","180","160","56940","56180"
"In post","2023","Knowledge and Information Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Outside London","SEO/HEO","645","620","36320","34300"
"In post","2023","Knowledge and Information Management","Outside London","Unknown","25","25","35010","31920"
"In post","2023","Knowledge and Information Management","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Overseas","EO","5","5","[c]","[c]"
"In post","2023","Knowledge and Information Management","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Legal","London","AA/AO","45","45","25740","26920"
"In post","2023","Legal","London","EO","500","480","31770","32540"
"In post","2023","Legal","London","G6/G7","2990","2790","63140","64140"
"In post","2023","Legal","London","SCS level","355","335","89780","83840"
"In post","2023","Legal","London","SEO/HEO","750","720","42410","41610"
"In post","2023","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Outside London","AA/AO","180","155","22750","22520"
"In post","2023","Legal","Outside London","EO","855","810","28250","28130"
"In post","2023","Legal","Outside London","G6/G7","3850","3575","58660","56450"
"In post","2023","Legal","Outside London","SCS level","110","105","89960","85350"
"In post","2023","Legal","Outside London","SEO/HEO","1910","1770","38940","37930"
"In post","2023","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2023","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Medicine","London","EO","20","20","31960","29850"
"In post","2023","Medicine","London","G6/G7","120","105","68510","63630"
"In post","2023","Medicine","London","SCS level","115","100","111090","104570"
"In post","2023","Medicine","London","SEO/HEO","70","65","42260","41950"
"In post","2023","Medicine","Outside London","AA/AO","310","280","23990","24680"
"In post","2023","Medicine","Outside London","EO","285","260","32580","32930"
"In post","2023","Medicine","Outside London","G6/G7","595","505","78060","81080"
"In post","2023","Medicine","Outside London","SCS level","200","170","112330","111300"
"In post","2023","Medicine","Outside London","SEO/HEO","690","620","41390","40590"
"In post","2023","Medicine","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","Overseas","EO","10","10","44450","42880"
"In post","2023","Medicine","Overseas","G6/G7","15","15","102230","103240"
"In post","2023","Medicine","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","Overseas","SEO/HEO","15","15","51460","50970"
"In post","2023","Medicine","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Operational Delivery","London","AA/AO","9660","8920","27660","26400"
"In post","2023","Operational Delivery","London","EO","12170","11375","31760","31570"
"In post","2023","Operational Delivery","London","G6/G7","2440","2375","63220","61030"
"In post","2023","Operational Delivery","London","SCS level","405","395","96260","86880"
"In post","2023","Operational Delivery","London","SEO/HEO","7430","7215","40820","39790"
"In post","2023","Operational Delivery","London","Unknown","2410","2285","35140","33050"
"In post","2023","Operational Delivery","Outside London","AA/AO","99360","88775","23940","22500"
"In post","2023","Operational Delivery","Outside London","EO","74605","68295","28640","28120"
"In post","2023","Operational Delivery","Outside London","G6/G7","6425","6265","58700","56080"
"In post","2023","Operational Delivery","Outside London","SCS level","480","470","89030","81600"
"In post","2023","Operational Delivery","Outside London","SEO/HEO","36640","34915","37430","35000"
"In post","2023","Operational Delivery","Outside London","Unknown","19485","18085","30010","29050"
"In post","2023","Operational Delivery","Overseas","AA/AO","15","15","32030","28070"
"In post","2023","Operational Delivery","Overseas","EO","45","45","37740","36080"
"In post","2023","Operational Delivery","Overseas","G6/G7","30","30","66880","63900"
"In post","2023","Operational Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Operational Delivery","Overseas","SEO/HEO","180","180","45830","47380"
"In post","2023","Operational Delivery","Overseas","Unknown","10","10","[c]","[c]"
"In post","2023","Operational Delivery","Unknown","AA/AO","175","170","23650","22220"
"In post","2023","Operational Delivery","Unknown","EO","310","280","28580","28120"
"In post","2023","Operational Delivery","Unknown","G6/G7","15","15","62930","66490"
"In post","2023","Operational Delivery","Unknown","SEO/HEO","125","115","43140","45610"
"In post","2023","Operational Delivery","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Operational Research","London","EO","15","15","31260","31420"
"In post","2023","Operational Research","London","G6/G7","155","150","62110","61310"
"In post","2023","Operational Research","London","SCS level","15","15","82890","80690"
"In post","2023","Operational Research","London","SEO/HEO","210","205","41080","40690"
"In post","2023","Operational Research","Outside London","AA/AO","110","110","22430","22520"
"In post","2023","Operational Research","Outside London","EO","30","25","26790","26960"
"In post","2023","Operational Research","Outside London","G6/G7","270","255","54740","52370"
"In post","2023","Operational Research","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Operational Research","Outside London","SEO/HEO","350","340","36450","36750"
"In post","2023","Other","London","AA/AO","245","230","25440","25610"
"In post","2023","Other","London","EO","665","645","30610","30090"
"In post","2023","Other","London","G6/G7","500","480","68290","62690"
"In post","2023","Other","London","SCS level","105","105","106050","98840"
"In post","2023","Other","London","SEO/HEO","830","805","39510","38710"
"In post","2023","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other","Outside London","AA/AO","5345","4900","21860","21690"
"In post","2023","Other","Outside London","EO","2525","2315","28180","28120"
"In post","2023","Other","Outside London","G6/G7","1130","1080","58550","57260"
"In post","2023","Other","Outside London","SCS level","105","105","97490","87050"
"In post","2023","Other","Outside London","SEO/HEO","3040","2870","37780","37300"
"In post","2023","Other","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Other","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Other","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Other","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Other","Overseas","SEO/HEO","10","10","47380","45320"
"In post","2023","Other","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2023","Other","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Other","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Other","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Other","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Other","Unknown","Unknown","1695","1695","41950","40010"
"In post","2023","Planning","London","EO","5","5","[c]","[c]"
"In post","2023","Planning","London","G6/G7","40","40","60330","56590"
"In post","2023","Planning","London","SCS level","5","5","[c]","[c]"
"In post","2023","Planning","London","SEO/HEO","50","45","40560","40800"
"In post","2023","Planning","Outside London","AA/AO","15","15","24100","23880"
"In post","2023","Planning","Outside London","EO","20","20","27990","27420"
"In post","2023","Planning","Outside London","G6/G7","35","35","61380","59890"
"In post","2023","Planning","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Planning","Outside London","SEO/HEO","55","50","39210","39690"
"In post","2023","Planning Inspectors","London","G6/G7","30","25","61320","60050"
"In post","2023","Planning Inspectors","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Planning Inspectors","Outside London","G6/G7","420","375","59450","60050"
"In post","2023","Planning Inspectors","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Planning Inspectors","Outside London","SEO/HEO","20","20","33310","33450"
"In post","2023","Policy","London","AA/AO","205","195","26540","25900"
"In post","2023","Policy","London","EO","1240","1215","30220","29890"
"In post","2023","Policy","London","G6/G7","9560","9300","60610","59290"
"In post","2023","Policy","London","SCS level","1465","1405","85770","79000"
"In post","2023","Policy","London","SEO/HEO","8105","7975","39690","40260"
"In post","2023","Policy","London","Unknown","10","10","[c]","[c]"
"In post","2023","Policy","Outside London","AA/AO","305","290","23240","22500"
"In post","2023","Policy","Outside London","EO","990","950","27620","27140"
"In post","2023","Policy","Outside London","G6/G7","3400","3275","56530","54260"
"In post","2023","Policy","Outside London","SCS level","285","280","87140","81300"
"In post","2023","Policy","Outside London","SEO/HEO","5335","5140","37050","37520"
"In post","2023","Policy","Outside London","Unknown","20","15","72470","57400"
"In post","2023","Policy","Overseas","AA/AO","20","20","27180","23950"
"In post","2023","Policy","Overseas","EO","40","40","27940","28160"
"In post","2023","Policy","Overseas","G6/G7","1000","995","59730","58290"
"In post","2023","Policy","Overseas","SCS level","250","250","87530","77580"
"In post","2023","Policy","Overseas","SEO/HEO","760","760","36680","35250"
"In post","2023","Policy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Policy","Unknown","G6/G7","10","10","57070","54850"
"In post","2023","Policy","Unknown","SEO/HEO","15","15","37210","37300"
"In post","2023","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","London","AA/AO","45","40","25680","25610"
"In post","2023","Project Delivery","London","EO","305","295","30580","30200"
"In post","2023","Project Delivery","London","G6/G7","2000","1945","62800","60220"
"In post","2023","Project Delivery","London","SCS level","275","270","95230","89830"
"In post","2023","Project Delivery","London","SEO/HEO","1995","1960","40010","40540"
"In post","2023","Project Delivery","Outside London","AA/AO","240","230","22820","22520"
"In post","2023","Project Delivery","Outside London","EO","1055","990","27340","27250"
"In post","2023","Project Delivery","Outside London","G6/G7","3955","3855","57530","56180"
"In post","2023","Project Delivery","Outside London","SCS level","205","195","87010","79210"
"In post","2023","Project Delivery","Outside London","SEO/HEO","7430","7130","37770","38470"
"In post","2023","Project Delivery","Outside London","Unknown","525","510","45900","42230"
"In post","2023","Project Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Overseas","G6/G7","30","30","69700","66060"
"In post","2023","Project Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Overseas","SEO/HEO","40","40","58360","58910"
"In post","2023","Project Delivery","Overseas","Unknown","5","5","[c]","[c]"
"In post","2023","Project Delivery","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2023","Project Delivery","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Property","London","AA/AO","80","80","25060","26300"
"In post","2023","Property","London","EO","235","220","31360","31540"
"In post","2023","Property","London","G6/G7","250","245","62950","64140"
"In post","2023","Property","London","SCS level","25","25","91140","92290"
"In post","2023","Property","London","SEO/HEO","480","465","41570","40190"
"In post","2023","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Outside London","AA/AO","945","890","20940","19770"
"In post","2023","Property","Outside London","EO","1105","1035","27510","27470"
"In post","2023","Property","Outside London","G6/G7","935","905","57740","56740"
"In post","2023","Property","Outside London","SCS level","55","55","91820","82960"
"In post","2023","Property","Outside London","SEO/HEO","2685","2575","37970","36250"
"In post","2023","Property","Outside London","Unknown","35","35","24170","23800"
"In post","2023","Property","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Overseas","G6/G7","15","15","62650","62980"
"In post","2023","Property","Overseas","SEO/HEO","50","50","45310","43750"
"In post","2023","Property","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2023","Property","Unknown","SEO/HEO","35","35","44520","41900"
"In post","2023","Psychology","London","AA/AO","10","5","[c]","[c]"
"In post","2023","Psychology","London","EO","25","25","31230","31310"
"In post","2023","Psychology","London","G6/G7","10","10","71910","68060"
"In post","2023","Psychology","London","SEO/HEO","45","45","41930","37220"
"In post","2023","Psychology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Outside London","AA/AO","70","60","24660","24390"
"In post","2023","Psychology","Outside London","EO","445","435","29090","28480"
"In post","2023","Psychology","Outside London","G6/G7","120","120","66210","67070"
"In post","2023","Psychology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Outside London","SEO/HEO","855","815","39180","36690"
"In post","2023","Psychology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","London","AA/AO","35","35","24660","24550"
"In post","2023","Science and Engineering","London","EO","75","70","29240","28230"
"In post","2023","Science and Engineering","London","G6/G7","390","375","61400","60220"
"In post","2023","Science and Engineering","London","SCS level","55","50","91440","83000"
"In post","2023","Science and Engineering","London","SEO/HEO","575","565","38740","40880"
"In post","2023","Science and Engineering","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Outside London","AA/AO","1045","1020","22850","22860"
"In post","2023","Science and Engineering","Outside London","EO","1340","1295","27420","27230"
"In post","2023","Science and Engineering","Outside London","G6/G7","2990","2845","56630","55320"
"In post","2023","Science and Engineering","Outside London","SCS level","40","35","91530","89900"
"In post","2023","Science and Engineering","Outside London","SEO/HEO","5885","5690","38180","39350"
"In post","2023","Science and Engineering","Outside London","Unknown","800","790","44030","42620"
"In post","2023","Science and Engineering","Overseas","AA/AO","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Overseas","EO","5","5","[c]","[c]"
"In post","2023","Science and Engineering","Overseas","G6/G7","10","10","78180","76530"
