"Status","Year","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Scottish Government","Outside London","340","325","38520","34450"
"In post","2023","Asian","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","The National Archives","London","45","45","35860","34710"
"In post","2023","Asian","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Export Finance","London","95","90","49070","42000"
"In post","2023","Asian","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","London","30","30","44890","40260"
"In post","2023","Asian","UK Statistics Authority","Outside London","205","180","33040","31060"
"In post","2023","Asian","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","London","10","10","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","Outside London","30","30","43530","40810"
"In post","2023","Asian","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Welsh Government","Outside London","70","70","42950","39690"
"In post","2023","Asian","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Attorney General's Departments","London","500","480","41580","33620"
"In post","2023","Black","Attorney General's Departments","Outside London","130","125","40480","38760"
"In post","2023","Black","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Cabinet Office","London","270","265","44530","36680"
"In post","2023","Black","Cabinet Office","Outside London","80","75","41550","38050"
"In post","2023","Black","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","London","15","15","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Charity Commission","Outside London","5","5","[c]","[c]"
"In post","2023","Black","Competition and Markets Authority","London","40","40","43260","40160"
"In post","2023","Black","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Business, Energy and Industrial Strategy","London","355","355","43250","41060"
"In post","2023","Black","Department for Business, Energy and Industrial Strategy","Outside London","125","120","34740","32110"
"In post","2023","Black","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Digital, Culture, Media and Sport","London","85","85","39310","35620"
"In post","2023","Black","Department for Digital, Culture, Media and Sport","Outside London","10","10","[c]","[c]"
"In post","2023","Black","Department for Education","London","170","170","43510","41440"
"In post","2023","Black","Department for Education","Outside London","135","130","39020","37590"
"In post","2023","Black","Department for Environment, Food and Rural Affairs","London","175","175","37900","33830"
"In post","2023","Black","Department for Environment, Food and Rural Affairs","Outside London","115","115","33670","30320"
"In post","2023","Black","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for International Trade","London","145","145","42760","41550"
"In post","2023","Black","Department for International Trade","Outside London","15","15","[c]","[c]"
"In post","2023","Black","Department for International Trade","Overseas","5","5","[c]","[c]"
"In post","2023","Black","Department for Levelling Up, Housing and Communities","London","140","140","43710","40800"
"In post","2023","Black","Department for Levelling Up, Housing and Communities","Outside London","45","40","34490","31290"
"In post","2023","Black","Department for Transport","London","180","175","42950","38220"
"In post","2023","Black","Department for Transport","Outside London","100","95","31430","27600"
"In post","2023","Black","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Work and Pensions","London","1990","1865","32900","32520"
"In post","2023","Black","Department for Work and Pensions","Outside London","1705","1590","28600","28120"
"In post","2023","Black","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Department of Health and Social Care","London","360","350","41820","36460"
"In post","2023","Black","Department of Health and Social Care","Outside London","150","145","45260","37770"
"In post","2023","Black","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Food Standards Agency","London","20","20","[c]","[c]"
"In post","2023","Black","Food Standards Agency","Outside London","25","25","[c]","[c]"
"In post","2023","Black","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Foreign, Commonwealth and Development Office","London","165","165","40160","36620"
"In post","2023","Black","Foreign, Commonwealth and Development Office","Outside London","35","35","39840","32750"
"In post","2023","Black","Foreign, Commonwealth and Development Office","Overseas","50","50","45120","39450"
"In post","2023","Black","HM Land Registry","London","30","30","38720","38410"
"In post","2023","Black","HM Land Registry","Outside London","40","40","29850","28080"
"In post","2023","Black","HM Revenue and Customs","London","1020","990","40610","39450"
"In post","2023","Black","HM Revenue and Customs","Outside London","1105","1065","31420","28130"
"In post","2023","Black","HM Treasury","London","50","50","41740","38660"
"In post","2023","Black","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Home Office","London","1445","1365","35930","30840"
"In post","2023","Black","Home Office","Outside London","375","350","28380","26130"
"In post","2023","Black","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Home Office","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Ministry of Defence","London","225","220","37260","34850"
"In post","2023","Black","Ministry of Defence","Outside London","525","515","34960","33830"
"In post","2023","Black","Ministry of Defence","Overseas","5","5","[c]","[c]"
"In post","2023","Black","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Ministry of Justice","London","2615","2525","34220","33000"
"In post","2023","Black","Ministry of Justice","Outside London","1800","1710","29720","28680"
"In post","2023","Black","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","National Crime Agency","London","75","75","38160","38790"
"In post","2023","Black","National Crime Agency","Outside London","30","30","[c]","[c]"
"In post","2023","Black","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Office for Standards in Education, Children's Services and Skills","London","35","35","47040","44250"
"In post","2023","Black","Office for Standards in Education, Children's Services and Skills","Outside London","40","40","48200","47750"
"In post","2023","Black","Office of Gas and Electricity Markets","London","95","95","43120","41900"
"In post","2023","Black","Office of Gas and Electricity Markets","Outside London","20","20","[c]","[c]"
"In post","2023","Black","Office of Qualifications and Examinations Regulation","Outside London","20","20","[c]","[c]"
"In post","2023","Black","Office of Rail and Road","London","15","15","[c]","[c]"
"In post","2023","Black","Office of Rail and Road","Outside London","10","10","[c]","[c]"
"In post","2023","Black","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Scottish Government","Outside London","105","100","38360","33520"
"In post","2023","Black","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","The National Archives","London","10","10","[c]","[c]"
"In post","2023","Black","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","UK Export Finance","London","50","50","47100","42220"
"In post","2023","Black","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","UK Statistics Authority","London","25","25","[c]","[c]"
"In post","2023","Black","UK Statistics Authority","Outside London","105","95","32070","31060"
"In post","2023","Black","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Black","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Welsh Government","Outside London","20","20","[c]","[c]"
"In post","2023","Black","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Attorney General's Departments","London","190","180","49420","52020"
"In post","2023","Mixed","Attorney General's Departments","Outside London","150","140","41180","38760"
"In post","2023","Mixed","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Cabinet Office","London","240","240","45290","35650"
"In post","2023","Mixed","Cabinet Office","Outside London","100","100","43320","33770"
"In post","2023","Mixed","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","Mixed","Chancellor's other departments","London","15","15","[c]","[c]"
"In post","2023","Mixed","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Charity Commission","Outside London","10","10","[c]","[c]"
"In post","2023","Mixed","Competition and Markets Authority","London","30","30","48720","45320"
"In post","2023","Mixed","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Mixed","Department for Business, Energy and Industrial Strategy","London","235","230","48690","47360"
"In post","2023","Mixed","Department for Business, Energy and Industrial Strategy","Outside London","130","125","37260","33450"
"In post","2023","Mixed","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Department for Digital, Culture, Media and Sport","London","75","75","48100","52760"
"In post","2023","Mixed","Department for Digital, Culture, Media and Sport","Outside London","10","10","[c]","[c]"
"In post","2023","Mixed","Department for Education","London","100","100","48470","46600"
"In post","2023","Mixed","Department for Education","Outside London","120","115","39760","37590"
"In post","2023","Mixed","Department for Environment, Food and Rural Affairs","London","90","85","43390","40260"
"In post","2023","Mixed","Department for Environment, Food and Rural Affairs","Outside London","180","175","34880","30640"
"In post","2023","Mixed","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Department for International Trade","London","95","90","48320","41750"
"In post","2023","Mixed","Department for International Trade","Outside London","10","10","[c]","[c]"
"In post","2023","Mixed","Department for International Trade","Overseas","10","10","[c]","[c]"
"In post","2023","Mixed","Department for Levelling Up, Housing and Communities","London","65","65","47710","48370"
"In post","2023","Mixed","Department for Levelling Up, Housing and Communities","Outside London","35","35","41210","37060"
"In post","2023","Mixed","Department for Transport","London","120","120","45820","43750"
"In post","2023","Mixed","Department for Transport","Outside London","135","125","30230","27260"
"In post","2023","Mixed","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Department for Work and Pensions","London","360","340","34540","32520"
"In post","2023","Mixed","Department for Work and Pensions","Outside London","1220","1120","28600","28120"
"In post","2023","Mixed","Department for Work and Pensions","Unknown","5","5","[c]","[c]"
"In post","2023","Mixed","Department of Health and Social Care","London","175","170","46640","41950"
"In post","2023","Mixed","Department of Health and Social Care","Outside London","80","80","45670","41660"
"In post","2023","Mixed","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Food Standards Agency","London","10","10","[c]","[c]"
"In post","2023","Mixed","Food Standards Agency","Outside London","30","30","[c]","[c]"
"In post","2023","Mixed","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Foreign, Commonwealth and Development Office","London","160","155","49380","46110"
"In post","2023","Mixed","Foreign, Commonwealth and Development Office","Outside London","25","25","[c]","[c]"
"In post","2023","Mixed","Foreign, Commonwealth and Development Office","Overseas","95","95","48440","44150"
"In post","2023","Mixed","HM Land Registry","London","15","15","[c]","[c]"
"In post","2023","Mixed","HM Land Registry","Outside London","60","55","28960","28080"
"In post","2023","Mixed","HM Revenue and Customs","London","270","265","46610","39790"
"In post","2023","Mixed","HM Revenue and Customs","Outside London","750","710","33390","28840"
"In post","2023","Mixed","HM Treasury","London","90","90","48180","53550"
"In post","2023","Mixed","HM Treasury","Outside London","10","10","[c]","[c]"
"In post","2023","Mixed","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Home Office","London","390","370","40390","36180"
"In post","2023","Mixed","Home Office","Outside London","345","315","29670","25980"
"In post","2023","Mixed","Home Office","Overseas","5","5","[c]","[c]"
"In post","2023","Mixed","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Ministry of Defence","London","95","95","44140","42540"
"In post","2023","Mixed","Ministry of Defence","Outside London","590","570","37110","33830"
"In post","2023","Mixed","Ministry of Defence","Overseas","15","15","[c]","[c]"
"In post","2023","Mixed","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Ministry of Justice","London","615","595","38110","35410"
"In post","2023","Mixed","Ministry of Justice","Outside London","1500","1420","31030","29050"
"In post","2023","Mixed","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","National Crime Agency","London","35","35","42250","41910"
"In post","2023","Mixed","National Crime Agency","Outside London","70","70","39540","38310"
"In post","2023","Mixed","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Office for Standards in Education, Children's Services and Skills","London","5","5","[c]","[c]"
"In post","2023","Mixed","Office for Standards in Education, Children's Services and Skills","Outside London","20","20","[c]","[c]"
"In post","2023","Mixed","Office of Gas and Electricity Markets","London","45","45","46590","44200"
"In post","2023","Mixed","Office of Gas and Electricity Markets","Outside London","15","15","[c]","[c]"
"In post","2023","Mixed","Office of Qualifications and Examinations Regulation","Outside London","10","10","[c]","[c]"
"In post","2023","Mixed","Office of Rail and Road","London","10","10","[c]","[c]"
"In post","2023","Mixed","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Scottish Government","Outside London","175","170","42150","38060"
"In post","2023","Mixed","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","The National Archives","London","25","20","[c]","[c]"
"In post","2023","Mixed","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","UK Export Finance","London","20","20","[c]","[c]"
"In post","2023","Mixed","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","UK Statistics Authority","London","10","10","[c]","[c]"
"In post","2023","Mixed","UK Statistics Authority","Outside London","105","95","34710","31560"
"In post","2023","Mixed","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Welsh Government","Outside London","70","65","42460","39690"
"In post","2023","Mixed","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Attorney General's Departments","London","70","65","46930","52020"
"In post","2023","Other ethnicity","Attorney General's Departments","Outside London","35","35","40620","39710"
"In post","2023","Other ethnicity","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Cabinet Office","London","65","65","44970","41870"
"In post","2023","Other ethnicity","Cabinet Office","Outside London","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Chancellor's other departments","London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Business, Energy and Industrial Strategy","London","75","75","50230","54920"
"In post","2023","Other ethnicity","Department for Business, Energy and Industrial Strategy","Outside London","35","35","40990","41200"
"In post","2023","Other ethnicity","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Digital, Culture, Media and Sport","London","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Education","London","40","40","52540","55020"
"In post","2023","Other ethnicity","Department for Education","Outside London","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Department for Environment, Food and Rural Affairs","London","25","25","[c]","[c]"
"In post","2023","Other ethnicity","Department for Environment, Food and Rural Affairs","Outside London","55","55","35440","30320"
"In post","2023","Other ethnicity","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for International Trade","London","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Levelling Up, Housing and Communities","London","40","40","51990","54630"
"In post","2023","Other ethnicity","Department for Levelling Up, Housing and Communities","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Department for Transport","London","35","35","45000","38450"
"In post","2023","Other ethnicity","Department for Transport","Outside London","35","35","34090","31350"
"In post","2023","Other ethnicity","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Work and Pensions","London","175","160","34470","32520"
"In post","2023","Other ethnicity","Department for Work and Pensions","Outside London","290","265","29400","28120"
"In post","2023","Other ethnicity","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care","London","85","80","51040","43240"
"In post","2023","Other ethnicity","Department of Health and Social Care","Outside London","40","35","46460","37240"
"In post","2023","Other ethnicity","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Outside London","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office","London","70","70","49960","48180"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office","Outside London","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office","Overseas","40","40","49980","47550"
"In post","2023","Other ethnicity","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs","London","110","100","45990","39790"
"In post","2023","Other ethnicity","HM Revenue and Customs","Outside London","175","165","33890","34400"
"In post","2023","Other ethnicity","HM Treasury","London","110","110","48050","53550"
"In post","2023","Other ethnicity","HM Treasury","Outside London","25","25","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Home Office","London","140","135","38420","31280"
"In post","2023","Other ethnicity","Home Office","Outside London","95","85","28990","26180"
"In post","2023","Other ethnicity","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Ministry of Defence","Outside London","30","30","[c]","[c]"
"In post","2023","Other ethnicity","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Ministry of Justice","London","220","210","36820","34820"
"In post","2023","Other ethnicity","Ministry of Justice","Outside London","315","300","30980","29050"
"In post","2023","Other ethnicity","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","National Crime Agency","London","25","25","[c]","[c]"
"In post","2023","Other ethnicity","National Crime Agency","Outside London","15","15","[c]","[c]"
