"Status","Year","Disability","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Female","Heterosexual / straight","40","35","40870","39890"
"In post","2023","Declared disabled","Operational Research","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Male","Heterosexual / straight","55","55","43660","42710"
"In post","2023","Declared disabled","Operational Research","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","Female","Heterosexual / straight","890","790","30970","28120"
"In post","2023","Declared disabled","Other","Female","LGBO","65","60","29860","28120"
"In post","2023","Declared disabled","Other","Female","Undeclared","105","90","30730","28120"
"In post","2023","Declared disabled","Other","Female","Unknown","75","65","29150","28120"
"In post","2023","Declared disabled","Other","Male","Heterosexual / straight","560","535","31060","27140"
"In post","2023","Declared disabled","Other","Male","LGBO","80","80","28940","28120"
"In post","2023","Declared disabled","Other","Male","Undeclared","85","75","28220","25610"
"In post","2023","Declared disabled","Other","Male","Unknown","60","55","38640","33100"
"In post","2023","Declared disabled","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Planning","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Planning","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Policy","Female","Heterosexual / straight","1330","1275","47190","43210"
"In post","2023","Declared disabled","Policy","Female","LGBO","290","285","44430","41060"
"In post","2023","Declared disabled","Policy","Female","Undeclared","155","145","46240","41870"
"In post","2023","Declared disabled","Policy","Female","Unknown","80","75","51080","45100"
"In post","2023","Declared disabled","Policy","Male","Heterosexual / straight","930","915","47950","43360"
"In post","2023","Declared disabled","Policy","Male","LGBO","225","220","48770","49400"
"In post","2023","Declared disabled","Policy","Male","Undeclared","110","110","46460","43210"
"In post","2023","Declared disabled","Policy","Male","Unknown","60","60","51380","49740"
"In post","2023","Declared disabled","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Policy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Female","Heterosexual / straight","850","800","42950","39510"
"In post","2023","Declared disabled","Project Delivery","Female","LGBO","100","95","42180","38500"
"In post","2023","Declared disabled","Project Delivery","Female","Undeclared","95","95","44280","41050"
"In post","2023","Declared disabled","Project Delivery","Female","Unknown","80","75","36250","31920"
"In post","2023","Declared disabled","Project Delivery","Male","Heterosexual / straight","585","575","44850","41800"
"In post","2023","Declared disabled","Project Delivery","Male","LGBO","75","75","45420","41780"
"In post","2023","Declared disabled","Project Delivery","Male","Undeclared","65","65","46970","41800"
"In post","2023","Declared disabled","Project Delivery","Male","Unknown","50","45","40930","36670"
"In post","2023","Declared disabled","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Female","Heterosexual / straight","235","220","38390","34300"
"In post","2023","Declared disabled","Property","Female","LGBO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Property","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Property","Female","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Property","Male","Heterosexual / straight","235","225","39040","35000"
"In post","2023","Declared disabled","Property","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Property","Male","Undeclared","35","35","37190","36100"
"In post","2023","Declared disabled","Property","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Female","Heterosexual / straight","95","90","36930","31670"
"In post","2023","Declared disabled","Psychology","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Science and Engineering","Female","Heterosexual / straight","305","285","37940","35960"
"In post","2023","Declared disabled","Science and Engineering","Female","LGBO","70","70","36280","33990"
"In post","2023","Declared disabled","Science and Engineering","Female","Undeclared","40","35","40310","39650"
"In post","2023","Declared disabled","Science and Engineering","Female","Unknown","40","40","37320","35790"
"In post","2023","Declared disabled","Science and Engineering","Male","Heterosexual / straight","675","655","40680","39890"
"In post","2023","Declared disabled","Science and Engineering","Male","LGBO","50","50","38510","39650"
"In post","2023","Declared disabled","Science and Engineering","Male","Undeclared","95","90","40190","41200"
"In post","2023","Declared disabled","Science and Engineering","Male","Unknown","120","120","43840","46660"
"In post","2023","Declared disabled","Science and Engineering","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
