"Status","Year","Disability","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Commercial","Male","2150","2120","52550","45150"
"In post","2023","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Female","1515","1425","44400","41440"
"In post","2023","Declared non-disabled","Communications","Male","975","965","45670","41780"
"In post","2023","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Female","6190","5580","32790","29730"
"In post","2023","Declared non-disabled","Counter Fraud","Male","5240","5040","35850","34170"
"In post","2023","Declared non-disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","Female","2955","2530","24840","22520"
"In post","2023","Declared non-disabled","Debt","Male","1790","1715","25100","22520"
"In post","2023","Declared non-disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Female","6360","6040","42400","39270"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Male","10410","10240","44830","41780"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Female","4840","4475","39700","35760"
"In post","2023","Declared non-disabled","Finance","Male","3720","3645","44480","41060"
"In post","2023","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","Female","835","745","26720","22150"
"In post","2023","Declared non-disabled","Grants Management","Male","575","560","26810","22150"
"In post","2023","Declared non-disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Female","5710","5375","39980","35230"
"In post","2023","Declared non-disabled","Human Resources","Male","3350","3275","39630","34700"
"In post","2023","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Female","265","250","47260","44220"
"In post","2023","Declared non-disabled","Internal Audit","Male","230","225","50680","49900"
"In post","2023","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Female","5895","5380","47600","52020"
"In post","2023","Declared non-disabled","Legal","Male","3150","3060","51340","52790"
"In post","2023","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Female","119180","107130","32440","28120"
"In post","2023","Declared non-disabled","No function","Male","87670","84620","35190","31290"
"In post","2023","Declared non-disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Female","7110","6710","45440","41780"
"In post","2023","Declared non-disabled","Project Delivery","Male","7010","6865","48630","43400"
"In post","2023","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Property","Female","2595","2415","36840","33990"
"In post","2023","Declared non-disabled","Property","Male","3035","2955","40320","37080"
"In post","2023","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Security","Female","1595","1520","35040","32640"
"In post","2023","Declared non-disabled","Security","Male","4225","4155","34710","30700"
"In post","2023","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Female","9330","8750","43210","39690"
"In post","2023","Declared non-disabled","Unknown","Male","7520","7350","44810","39890"
"In post","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Analysis","Female","160","155","43440","39780"
"In post","2023","Undeclared","Analysis","Male","215","210","47600","44190"
"In post","2023","Undeclared","Commercial","Female","205","195","47120","42700"
"In post","2023","Undeclared","Commercial","Male","210","205","53710","46420"
"In post","2023","Undeclared","Communications","Female","115","110","43230","39590"
"In post","2023","Undeclared","Communications","Male","85","85","43190","39590"
"In post","2023","Undeclared","Counter Fraud","Female","405","360","33650","29730"
"In post","2023","Undeclared","Counter Fraud","Male","545","530","36890","34370"
"In post","2023","Undeclared","Debt","Female","180","150","24580","22520"
"In post","2023","Undeclared","Debt","Male","155","145","25090","22520"
"In post","2023","Undeclared","Digital, Data & Technology","Female","430","415","43210","41130"
"In post","2023","Undeclared","Digital, Data & Technology","Male","970","950","44150","41270"
"In post","2023","Undeclared","Finance","Female","335","305","39410","34990"
"In post","2023","Undeclared","Finance","Male","325","315","44250","39590"
"In post","2023","Undeclared","Grants Management","Female","100","90","25110","22150"
"In post","2023","Undeclared","Grants Management","Male","95","90","26460","22150"
"In post","2023","Undeclared","Human Resources","Female","455","435","39540","35790"
"In post","2023","Undeclared","Human Resources","Male","315","305","37170","34300"
"In post","2023","Undeclared","Internal Audit","Female","20","20","[c]","[c]"
"In post","2023","Undeclared","Internal Audit","Male","25","20","[c]","[c]"
"In post","2023","Undeclared","Legal","Female","220","205","51270","54100"
"In post","2023","Undeclared","Legal","Male","140","135","53120","55780"
"In post","2023","Undeclared","No function","Female","9465","8530","33660","29050"
"In post","2023","Undeclared","No function","Male","10075","9530","36060","32920"
"In post","2023","Undeclared","Project Delivery","Female","395","375","44400","41780"
"In post","2023","Undeclared","Project Delivery","Male","550","535","48260","43460"
"In post","2023","Undeclared","Property","Female","230","210","36020","33830"
"In post","2023","Undeclared","Property","Male","335","320","40380","37680"
"In post","2023","Undeclared","Security","Female","135","125","36580","34300"
"In post","2023","Undeclared","Security","Male","510","500","35790","35090"
"In post","2023","Undeclared","Unknown","Female","300","280","41370","38330"
"In post","2023","Undeclared","Unknown","Male","225","220","44250","39730"
"In post","2023","Unknown","Analysis","Female","1155","1115","40390","37990"
"In post","2023","Unknown","Analysis","Male","1450","1430","41580","38410"
"In post","2023","Unknown","Analysis","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","Commercial","Female","765","740","41050","36000"
"In post","2023","Unknown","Commercial","Male","740","735","45170","39190"
"In post","2023","Unknown","Communications","Female","660","640","43270","40770"
"In post","2023","Unknown","Communications","Male","450","445","44500","41020"
"In post","2023","Unknown","Counter Fraud","Female","1190","1100","33550","32520"
"In post","2023","Unknown","Counter Fraud","Male","1360","1315","35450","34400"
"In post","2023","Unknown","Debt","Female","960","855","24240","22520"
"In post","2023","Unknown","Debt","Male","795","770","24110","22520"
"In post","2023","Unknown","Digital, Data & Technology","Female","1860","1805","41980","38050"
"In post","2023","Unknown","Digital, Data & Technology","Male","3715","3675","43340","39500"
"In post","2023","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Finance","Female","1260","1175","37840","33160"
"In post","2023","Unknown","Finance","Male","1125","1105","41140","35990"
"In post","2023","Unknown","Grants Management","Female","315","275","26670","22150"
"In post","2023","Unknown","Grants Management","Male","290","280","27050","22150"
"In post","2023","Unknown","Human Resources","Female","1565","1495","38760","34400"
"In post","2023","Unknown","Human Resources","Male","985","975","37940","33990"
"In post","2023","Unknown","Internal Audit","Female","55","50","42050","39660"
"In post","2023","Unknown","Internal Audit","Male","50","50","48040","42830"
"In post","2023","Unknown","Legal","Female","1745","1625","44080","42760"
"In post","2023","Unknown","Legal","Male","855","835","46840","49050"
"In post","2023","Unknown","No function","Female","33415","31095","32250","28120"
"In post","2023","Unknown","No function","Male","29855","28935","33830","29050"
"In post","2023","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Female","2515","2410","43470","41000"
"In post","2023","Unknown","Project Delivery","Male","2340","2300","46450","42140"
"In post","2023","Unknown","Property","Female","735","695","31060","27080"
"In post","2023","Unknown","Property","Male","1190","1175","34230","31360"
"In post","2023","Unknown","Security","Female","590","575","35180","31060"
"In post","2023","Unknown","Security","Male","2120","2090","34150","30200"
"In post","2023","Unknown","Unknown","Female","5105","4845","38390","32960"
"In post","2023","Unknown","Unknown","Male","5650","5575","40370","36860"
"Leaver CS","2023","Declared disabled","Analysis","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Female","70","[c]","28990","28120"
"Leaver CS","2023","Declared disabled","Counter Fraud","Male","70","[c]","29050","28120"
"Leaver CS","2023","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Female","65","[c]","22450","21690"
"Leaver CS","2023","Declared disabled","Debt","Male","45","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Female","80","[c]","42950","38470"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Male","110","[c]","38880","34230"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Female","50","[c]","37920","34170"
"Leaver CS","2023","Declared disabled","Finance","Male","40","[c]","45720","41040"
"Leaver CS","2023","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Grants Management","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","Female","125","[c]","36870","33160"
"Leaver CS","2023","Declared disabled","Human Resources","Male","75","[c]","39500","32960"
"Leaver CS","2023","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","Female","60","[c]","42090","34460"
"Leaver CS","2023","Declared disabled","Legal","Male","35","[c]","44210","44580"
"Leaver CS","2023","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","No function","Female","2260","[c]","28770","27570"
"Leaver CS","2023","Declared disabled","No function","Male","1400","[c]","30960","27570"
"Leaver CS","2023","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","Female","75","[c]","41630","39330"
"Leaver CS","2023","Declared disabled","Project Delivery","Male","55","[c]","39520","40280"
"Leaver CS","2023","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Male","70","[c]","34220","31600"
"Leaver CS","2023","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Female","75","[c]","36670","29100"
"Leaver CS","2023","Declared disabled","Unknown","Male","60","[c]","40610","36330"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Analysis","Female","175","[c]","38660","35050"
"Leaver CS","2023","Declared non-disabled","Analysis","Male","220","[c]","37800","33170"
"Leaver CS","2023","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","Female","150","[c]","44160","36900"
"Leaver CS","2023","Declared non-disabled","Commercial","Male","145","[c]","49280","42620"
"Leaver CS","2023","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Communications","Female","170","[c]","44860","41870"
"Leaver CS","2023","Declared non-disabled","Communications","Male","105","[c]","45900","39600"
"Leaver CS","2023","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","Female","305","[c]","28640","28120"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","Male","260","[c]","31020","28120"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Debt","Female","295","[c]","22520","21690"
"Leaver CS","2023","Declared non-disabled","Debt","Male","170","[c]","23180","21690"
"Leaver CS","2023","Declared non-disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Digital, Data & Technology","Female","470","[c]","42130","39270"
"Leaver CS","2023","Declared non-disabled","Digital, Data & Technology","Male","835","[c]","45430","42000"
"Leaver CS","2023","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Finance","Female","265","[c]","41370","36650"
"Leaver CS","2023","Declared non-disabled","Finance","Male","265","[c]","43130","39290"
"Leaver CS","2023","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Grants Management","Female","105","[c]","23360","22150"
"Leaver CS","2023","Declared non-disabled","Grants Management","Male","75","[c]","23730","22150"
"Leaver CS","2023","Declared non-disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Human Resources","Female","540","[c]","34180","27670"
"Leaver CS","2023","Declared non-disabled","Human Resources","Male","350","[c]","36370","32670"
"Leaver CS","2023","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Internal Audit","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Internal Audit","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Legal","Female","360","[c]","43940","43000"
"Leaver CS","2023","Declared non-disabled","Legal","Male","215","[c]","53490","56450"
"Leaver CS","2023","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","No function","Female","10255","[c]","30540","27570"
"Leaver CS","2023","Declared non-disabled","No function","Male","7680","[c]","33800","28120"
"Leaver CS","2023","Declared non-disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Project Delivery","Female","380","[c]","42470","38650"
"Leaver CS","2023","Declared non-disabled","Project Delivery","Male","515","[c]","45670","41200"
"Leaver CS","2023","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Property","Female","175","[c]","32830","28120"
"Leaver CS","2023","Declared non-disabled","Property","Male","245","[c]","38730","35090"
"Leaver CS","2023","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Security","Female","110","[c]","31330","29010"
"Leaver CS","2023","Declared non-disabled","Security","Male","390","[c]","33740","27680"
"Leaver CS","2023","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","Female","535","[c]","41840","36580"
"Leaver CS","2023","Declared non-disabled","Unknown","Male","470","[c]","43830","38210"
"Leaver CS","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Analysis","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Analysis","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Commercial","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Commercial","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Communications","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Communications","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Counter Fraud","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Counter Fraud","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Debt","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Debt","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Digital, Data & Technology","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Digital, Data & Technology","Male","55","[c]","44890","42670"
"Leaver CS","2023","Undeclared","Finance","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Finance","Male","35","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Human Resources","Female","40","[c]","31170","27520"
"Leaver CS","2023","Undeclared","Human Resources","Male","45","[c]","35160","34300"
"Leaver CS","2023","Undeclared","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Legal","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Legal","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","No function","Female","825","[c]","30640","27570"
"Leaver CS","2023","Undeclared","No function","Male","935","[c]","35670","29330"
"Leaver CS","2023","Undeclared","Project Delivery","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Project Delivery","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Property","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Property","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Security","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Security","Male","55","[c]","33510","30020"
"Leaver CS","2023","Undeclared","Unknown","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Analysis","Female","120","[c]","33230","30650"
"Leaver CS","2023","Unknown","Analysis","Male","270","[c]","36080","31270"
"Leaver CS","2023","Unknown","Commercial","Female","135","[c]","54170","56200"
"Leaver CS","2023","Unknown","Commercial","Male","135","[c]","57880","56000"
"Leaver CS","2023","Unknown","Communications","Female","70","[c]","38140","36380"
"Leaver CS","2023","Unknown","Communications","Male","50","[c]","40770","39130"
"Leaver CS","2023","Unknown","Counter Fraud","Female","60","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Counter Fraud","Male","95","[c]","36580","29570"
"Leaver CS","2023","Unknown","Debt","Female","130","[c]","22080","21690"
"Leaver CS","2023","Unknown","Debt","Male","105","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Digital, Data & Technology","Female","185","[c]","44600","41460"
"Leaver CS","2023","Unknown","Digital, Data & Technology","Male","440","[c]","43230","39460"
"Leaver CS","2023","Unknown","Finance","Female","90","[c]","36120","30710"
"Leaver CS","2023","Unknown","Finance","Male","95","[c]","41220","38920"
"Leaver CS","2023","Unknown","Grants Management","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Human Resources","Female","200","[c]","34600","28830"
"Leaver CS","2023","Unknown","Human Resources","Male","115","[c]","36680","32000"
"Leaver CS","2023","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Internal Audit","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Legal","Female","125","[c]","40230","30880"
"Leaver CS","2023","Unknown","Legal","Male","65","[c]","45650","49050"
"Leaver CS","2023","Unknown","No function","Female","3860","[c]","31280","25900"
"Leaver CS","2023","Unknown","No function","Male","3520","[c]","32780","26960"
"Leaver CS","2023","Unknown","Project Delivery","Female","130","[c]","38570","35410"
"Leaver CS","2023","Unknown","Project Delivery","Male","160","[c]","42020","39860"
"Leaver CS","2023","Unknown","Property","Female","65","[c]","28700","22520"
"Leaver CS","2023","Unknown","Property","Male","120","[c]","33730","28490"
"Leaver CS","2023","Unknown","Security","Female","55","[c]","29630","26590"
"Leaver CS","2023","Unknown","Security","Male","215","[c]","30610","27500"
"Leaver CS","2023","Unknown","Unknown","Female","880","[c]","35580","31940"
"Leaver CS","2023","Unknown","Unknown","Male","840","[c]","38030","33310"
"Leaver Dept.","2023","Declared disabled","Analysis","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Analysis","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Debt","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Debt","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Female","35","[c]","39680","38470"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Male","40","[c]","46550","43760"
"Leaver Dept.","2023","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Female","75","[c]","38950","35670"
"Leaver Dept.","2023","Declared disabled","Human Resources","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Legal","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Legal","Male","10","[c]","[c]","[c]"
