"Status","Year","Disability","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","Heterosexual / straight","125","125","66240","65500"
"In post","2023","Declared disabled","Cabinet Office","Commercial","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","Unknown","70","70","55220","56000"
"In post","2023","Declared disabled","Cabinet Office","Communications","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","Heterosexual / straight","105","105","49830","50690"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","LGBO","35","35","46120","50690"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Digital, Data and Technology","Unknown","30","30","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","Heterosexual / straight","140","130","38670","35650"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","Heterosexual / straight","40","40","44220","41870"
"In post","2023","Declared disabled","Cabinet Office","Policy","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","Heterosexual / straight","30","30","45980","34920"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Project Delivery","Unknown","45","45","30980","30130"
"In post","2023","Declared disabled","Cabinet Office","Property","Heterosexual / straight","30","30","56060","51780"
"In post","2023","Declared disabled","Cabinet Office","Property","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Property","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Science and Engineering","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Science and Engineering","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","Heterosexual / straight","40","40","39290","34320"
"In post","2023","Declared disabled","Cabinet Office","Security","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Statistics","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Heterosexual / straight","250","245","40300","34150"
"In post","2023","Declared disabled","Cabinet Office","Unknown","LGBO","60","60","43540","36760"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Unknown","105","105","31630","30130"
"In post","2023","Declared disabled","Chancellor's other departments","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Operational Delivery","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Commercial","LGBO","[c]","[c]","[c]","[c]"
